gen,avg,max
0,0.4538333333333334,0.7
1,0.45133333333333325,0.7166666666666667
2,0.43133333333333324,0.6833333333333333
3,0.4458333333333332,0.65
4,0.436,0.7166666666666667
5,0.42316666666666675,0.6666666666666666
6,0.42816666666666664,0.6333333333333333
7,0.4521666666666666,0.7333333333333333
8,0.4566666666666667,0.8
9,0.4266666666666667,0.6833333333333333
10,0.466,0.7166666666666667
11,0.4555,0.8
12,0.44099999999999995,0.6833333333333333
13,0.44366666666666676,0.6166666666666667
14,0.4430000000000001,0.6333333333333333
15,0.4453333333333333,0.7333333333333333
16,0.4403333333333333,0.7333333333333333
17,0.45349999999999996,0.8166666666666667
18,0.45699999999999996,0.7833333333333333
19,0.44,0.7
20,0.4338333333333332,0.7166666666666667
21,0.45366666666666666,0.75
22,0.4433333333333333,0.6333333333333333
23,0.45216666666666666,0.6833333333333333
24,0.4466666666666667,0.7
25,0.4485,0.75
26,0.44366666666666676,0.7
27,0.4438333333333333,0.7
28,0.45183333333333336,0.6666666666666666
29,0.4641666666666666,0.75
30,0.4438333333333332,0.6833333333333333
31,0.4578333333333333,0.6666666666666666
32,0.4646666666666666,0.6833333333333333
33,0.45049999999999996,0.6833333333333333
34,0.43483333333333335,0.6333333333333333
35,0.45783333333333326,0.6666666666666666
36,0.44233333333333325,0.7666666666666667
37,0.43849999999999995,0.6666666666666666
38,0.43183333333333324,0.75
39,0.44116666666666676,0.6666666666666666
40,0.43683333333333335,0.6833333333333333
41,0.47450000000000003,0.6833333333333333
42,0.465,0.65
43,0.44299999999999995,0.65
44,0.43583333333333335,0.7166666666666667
45,0.44183333333333347,0.6833333333333333
46,0.4471666666666667,0.6666666666666666
47,0.43866666666666665,0.7
48,0.4421666666666666,0.7166666666666667
49,0.4703333333333334,0.6833333333333333
