gen,avg,max
0,0.4428333333333333,0.5725
1,0.4454166666666666,0.555
2,0.4628333333333333,0.555
3,0.4487083333333334,0.5525
4,0.46370833333333333,0.625
5,0.468375,0.535
6,0.4727916666666667,0.5525
7,0.468,0.55
8,0.4773333333333333,0.54
9,0.4813333333333333,0.5525
10,0.455,0.5625
11,0.4572083333333334,0.5675
12,0.47704166666666664,0.5575
13,0.47329166666666667,0.585
14,0.46675000000000005,0.6275
15,0.4812916666666667,0.5825
16,0.486625,0.5875
17,0.4935416666666666,0.585
18,0.489,0.57
19,0.4858333333333334,0.5625
20,0.47625000000000006,0.59
21,0.47866666666666663,0.5925
22,0.4852916666666667,0.6125
23,0.5005,0.58
24,0.4907083333333333,0.645
25,0.4934583333333333,0.5975
26,0.4915416666666667,0.58
27,0.4882916666666667,0.6075
28,0.5011666666666666,0.5825
29,0.482125,0.5725
30,0.49083333333333334,0.575
31,0.4710833333333333,0.5525
32,0.47333333333333333,0.5825
33,0.48462500000000003,0.605
34,0.48854166666666665,0.57
35,0.4879166666666666,0.5875
36,0.48408333333333337,0.55
37,0.4887500000000001,0.56
38,0.49041666666666667,0.58
39,0.496125,0.59
40,0.46975,0.5825
41,0.4989166666666666,0.5725
42,0.48804166666666665,0.5725
43,0.476875,0.61
44,0.4909166666666667,0.5725
45,0.48504166666666665,0.58
46,0.4865416666666667,0.6
47,0.48775,0.5925
48,0.4985,0.5825
49,0.4960833333333333,0.5775
