gen,avg,max
0,0.4312833333333333,0.69
1,0.45653333333333335,0.7025
2,0.484,0.685
3,0.5158166666666667,0.715
4,0.5162333333333333,0.715
5,0.48955000000000004,0.6875
6,0.52205,0.6875
7,0.5082666666666668,0.7025
8,0.5105833333333334,0.6875
9,0.5155833333333334,0.6875
10,0.48774999999999996,0.715
11,0.5148,0.685
12,0.5198499999999999,0.7075
13,0.5091000000000001,0.6875
14,0.4724666666666667,0.6875
15,0.5379333333333333,0.6875
16,0.5280833333333333,0.6875
17,0.5306333333333333,0.6875
18,0.5447666666666667,0.6875
19,0.5235166666666666,0.6875
20,0.4282,0.6875
21,0.5200999999999999,0.6875
22,0.5460999999999999,0.685
23,0.5359666666666667,0.71
24,0.5166166666666666,0.71
25,0.5330666666666667,0.685
26,0.5309833333333334,0.6875
27,0.5141833333333333,0.6875
28,0.5518333333333334,0.69
29,0.5456666666666666,0.69
30,0.5405666666666666,0.6875
31,0.5247166666666666,0.6875
32,0.5148166666666666,0.69
33,0.4992,0.69
34,0.5425666666666666,0.69
35,0.5163,0.69
36,0.5359166666666668,0.685
37,0.5329666666666667,0.6875
38,0.5288166666666668,0.6875
39,0.5195166666666667,0.6875
40,0.5639166666666667,0.6875
41,0.54625,0.6875
42,0.54015,0.6875
43,0.53215,0.6875
44,0.5508333333333333,0.6875
45,0.5611499999999999,0.6875
46,0.5454166666666667,0.6875
47,0.5349833333333334,0.6875
48,0.5284,0.6875
49,0.53105,0.6875
